NO,站名,河系,行政區域,建置日期,管理單位,X坐標,Y坐標
45,社子,基隆河,大同區,20050401,抽管科第四分區管理所,301301.6,2776157.23
46,社增四(由社子島管理中心監管),基隆河,士林區,20070425,抽管科第四分區管理所,300047.17,2777102.17
47,社臨九(由社子島管理中心監管),基隆河,士林區,20070425,抽管科第四分區管理所,300069.16,2776693.87
48,中洲(由社子島管理中心監管),淡水河,士林區,19831201,抽管科第四分區管理所,297897.66,2777573.6
49,社臨七(由社子島管理中心監管),淡水河,士林區,19960201,抽管科第四分區管理所,298767.8,2777251.16
50,社臨八(由社子島管理中心監管),淡水河,士林區,19960201,抽管科第四分區管理所,299533.73,2776783.64
51,社臨六(由社子島管理中心監管),淡水河,士林區,19960201,抽管科第四分區管理所,297448.31,2777724.71
52,貴陽,淡水河,萬華區,19960301,抽管科第四分區管理所,300393.75,2770483.71
53,社增一(由社子島管理中心監管),淡水河,士林區,19990901,抽管科第四分區管理所,298096.52,2777513.3
54,社增二(由社子島管理中心監管),淡水河,士林區,19990901,抽管科第四分區管理所,298624.9,2777331.6
55,六館,淡水河,大同區,20000601,抽管科第四分區管理所,301270.34,2772224.72
56,社臨十(由社子島管理中心監管),淡水河,士林區,20000601,抽管科第四分區管理所,300110.86,2776243.43
57,迪化,淡水河,士林區,20050401,抽管科第四分區管理所,301221.46,2774763.27
58,忠孝,淡水河,萬華區,20051001,抽管科第四分區管理所,301091.18,2771408.03
59,雙園,新店溪,萬華區,19981201,抽管科第四分區管理所,299328.75,2769244.03
60,埤腹,景美溪,文山區,19840601,抽管科第五分區管理所,305061.42,2764395.21
61,道南,景美溪,文山區,19870101,抽管科第五分區管理所,307870.53,2764567.08
62,萬芳,景美溪,文山區,19920301,抽管科第五分區管理所,307699.74,2765374.62
63,樟新(由保儀站監管),景美溪,文山區,19990101,抽管科第五分區管理所,305891.36,2763697.12
64,保儀,景美溪,文山區,20010701,抽管科第五分區管理所,305909.51,2763711.38
65,老泉溪,景美溪,文山區,20020701,抽管科第五分區管理所,306527.12,2763587.17
66,無名溪,景美溪,文山區,20020701,抽管科第五分區管理所,307156.24,2763699.54
67,中港,景美溪,文山區,20050901,抽管科第五分區管理所,305865.58,2764411.78
68,實踐,景美溪,文山區,20050901,抽管科第五分區管理所,305954.75,2764056.53
69,木新(由無名溪監管),景美溪,文山區,20101201,抽管科第五分區管理所,307093.2,2763876.95
70,古亭,新店溪,中正區,19880101,抽管科第五分區管理所,302790.71,2768105.06
71,景美,新店溪,文山區,20041201,抽管科第五分區管理所,303946.17,2766923.45
72,士林,基隆河,士林區,19920101,抽管科第六分區管理所,301564.42,2776519.17
73,八仙,基隆河,北投區,19990801,抽管科第六分區管理所,299447.6,2778719.37
74,洲美一,基隆河,北投區,19990801,抽管科第六分區管理所,300311.14,2778109.3
75,洲美二,基隆河,北投區,19990801,抽管科第六分區管理所,300328.73,2777678.99
76,大業(由下八仙監管),基隆河,北投區,19990801,抽管科第六分區管理所,299956,2778458.25
77,大南,基隆河,士林區,20010301,抽管科第六分區管理所,301981.87,2775791.53
78,劍潭,基隆河,士林區,20030401,抽管科第六分區管理所,302281.83,2774888.89
79,洲美抽水站,基隆河,士林區,20161130,抽管科第六分區管理所,301653.8,2776852.12
80,北憲,磺港溪,北投區,19870602,抽管科第六分區管理所,300504.3,2778938.04
81,奇岩,磺港溪,北投區,19910301,抽管科第六分區管理所,300754.27,2779628.53
82,大業東(由北憲監管),磺港溪,北投區,19990801,抽管科第六分區管理所,300470.6,2779132.61
83,東華,磺溪,北投區,19870601,抽管科第六分區管理所,302667.44,2778056.17
84,文林,磺溪,北投區,20121201,抽管科第六分區管理所,302204.18,2777227.52
85,芝山,雙溪,士林區,19820501,抽管科第六分區管理所,303270.83,2777090.69
86,文昌,雙溪,士林區,19820501,抽管科第六分區管理所,302413.79,2776980.65
87,福林,雙溪,士林區,19820501,抽管科第六分區管理所,303065.64,2777251.16
88,福德,雙溪,士林區,19950501,抽管科第六分區管理所,303341.82,2776890.84
