CUSTOM_CODE,POOL_CODE,POOL_NAME,TOWN_NAME,X坐標,Y坐標,集水區面積
2.01211E+11,36,內湖路3段256巷5號,內湖區,309286.644,2775787.754,308.91
2.01211E+11,37,康寧醫院大門前,內湖區,311397.837,2774322.331,130.5
2.01211E+11,38,富邦湖濱特區(成功路5段450巷22弄對面),內湖區,311320.812,2774313.677,130.5
2.01211E+11,39,康湖(一)(成功路5段與康湖路口),內湖區,311230.86,2774984.53,30
2.01211E+11,42,聯勤技術訓練中心內(一池),信義區,308104.961,2768365.807,24
2.01211E+11,43,信義路5段150巷499號對面(一池),信義區,307904.913,2768204.345,26.4
2.01804E+11,60,信義快速道路近文山隧道南端出口,信義區,308682.916,2766813.908,281.6
2.01804E+11,61,大溝溪生態治水園區(大湖山莊街243巷口),內湖區,310353.993,2775766.115,45900
2.01804E+11,62,金瑞治水園區(內湖路3段348巷),內湖區,308753.466,2775976.188,7500
2.01804E+11,64,憲兵營區(辛亥路4段188巷-202巷對面),文山區,306170.476,2766187.624,4040
2.01804E+11,63,文山運動中心北側用地(興隆路3段222號北側),文山區,306451.802,2765596.755,790
