位置,設施名稱,設備編碼,經度,緯度
逸仙公園景觀水池東向,告示牌1面,公-逸仙-1,121.5199467,25.04764333
逸仙公園景觀水池西向,告示牌1面,公-逸仙-2,121.5197883,25.04776666
介壽公園和平亭旁,告示牌1面,公-介壽-1,121.5141599,25.03937
二二八和平公園八角亭西向,告示牌1面,公-二二八-1,121.515614,25.04213
二二八和平公園八角亭東向,告示牌1面,公-二二八-2,121.515906,25.042064
