位置,設施名稱,設備編碼,經度,緯度
永春陂濕地公園生態池畔(導覽站),救生圈1具、救生衣1件、告示牌1面,公-永春1,121.580494,25.034154
永春陂濕地公園生態池畔(雨水花園),救生圈1具、救生衣1件、告示牌2面,公-永春2,121.580663,25.033772
永春陂濕地公園生態池畔(假鳥),救生圈1具、救生衣1件、告示牌3面,公-永春3,121.580746,25.033426
永春陂濕地公園生態池畔(棧道下旁),救生圈1具、救生衣1件、告示牌4面,公-永春4,121.579933,25.03328
永春陂濕地公園生態池畔(多功能館旁),救生圈1具、救生衣1件、告示牌5面,公-永春5,121.579791,25.032191
